target_fid,value,followers
281836,imthedude,137424
269694,bitfloorsghost.eth,116282
310928,polymarket,113340
244479,dragonite.eth,100389
21071,layer3xyz,64890
354669,dappykit,59628
366713,nikolaiii,54053
262563,lamaboo.eth,46529
6546,artlu,45922
211205,aerodrome,43114
24235,turboflow.eth,42542
281289,tocd,41699
230147,edit,39879
398355,neged,39469
335872,writer,39249
234616,pichi,35596
340305,alfafrens,33414
322839,iambullish,32098
343261,drakula,32073
262938,animated,31640
247143,kylepatrick.eth,30649
233254,lottopgf,27988
243300,yonfrula,27652
249199,lyra.eth,27378
233147,pplpleasr,26951
412772,pilll,26595
24005,rarible,26519
190075,highlight,25529
307834,trebor69,24366
244902,sartoshi,22955
536359,arbitrum,22900
343622,karbonbased,22556
669936,onefootballclub,22449
476882,rugdotfun,22247
262450,cooprecs,21956
221578,apex777,21861
300898,optimism,21337
212722,uniswap,20439
259196,farlaunch,20136
415248,plastician.eth,20089
332281,casterchain,19971
249332,alexmack,19631
315256,gig,19475
409781,wagmi1337.eth,19030
309857,coinbasewallet,18736
321969,compez.eth,18543
368835,enjoytech.eth,18499
426045,rjs,18473
329883,wowbase,18316
269169,ownthedoge,18109
211693,mistershot,17776
270684,zafgod,17653
513499,cryptorubic,17653
403619,maretus.eth,17381
345923,0x0ldmancrypto.eth,17187
23441,beefy,17149
289784,taikoxyz,17092
339515,jackza.eth,17063
381068,imagineinfra,16838
270504,proxystudio.eth,16723
396869,based-sheep,16712
447233,khadijaali123,16697
218952,dailofrog,16524
244349,threadguy,16503
490435,farhouse,16414
434908,degenpad,16320
274138,farbase,16243
242661,puffdood.eth,16123
406863,letdegen,15998
245388,199.eth,15745
234434,degentip,15696
202681,nftart,15297
396659,ed1t,15199
227062,fxhash,15164
284063,kyb,15089
321200,acrossprotocol,15071
324452,thales,14688
226538,boldleonidas,14584
398688,8386,14537
472896,mhk92,14359
250874,meguce,14286
211272,dcinvestor,14153
327165,nicolasdavis.eth,14052
385955,degenfans,13910
295879,solana,13730
253127,bleu.eth,13660
210628,ethan666,13656
263574,tonyminh,13438
402888,hnwcrypto.eth,13225
248216,sartocrates,13190
421161,missjulianna,13129
290132,chainvirus,13125
211832,miasoarez,13020
557899,yoyo-app,12925
501185,apinoz,12902
557773,wlist,12855
323645,antonmarrast,12811
196199,jvmi,12758
317643,farpeps,12690
373885,avantisfinance,12664
388965,boeing747,12568
401028,baebaeddo,12425
302556,mikkolagerstedt,12424
323251,miguelgarest.eth,12412
341939,rarifoundation,12399
499956,saba800,12374
370078,shenzao.eth,12358
309710,nomadicframe,12348
211769,xcelencia,12345
294226,blackstock,12305
478906,jina,12096
459311,hafeez,12047
227912,andremessina,12035
236581,reallyryl,12012
278239,strano.eth,11922
264700,cobie,11878
283144,reneecampbell,11803
403020,push-,11801
272453,kufz,11735
237884,mantine.eth,11722
361319,simson,11704
248111,darkoh.eth,11575
337090,bay-photography,11475
355066,mxchaosm,11468
543630,mantissafinance,11443
311933,burrrrrberry,11354
309470,lusian.eth,11328
283553,ticker,11207
508049,timetree,11078
440795,alexeyzar,11037
319118,teaprotocol,11022
267974,bitcery,10945
390237,0xjoji,10906
389990,macbp.eth,10883
413728,master,10875
343968,questcaster,10850
236812,phaverapp,10830
328041,nickyboost,10827
421661,satoushi,10789
449706,mysteryproducer,10607
409573,fuckcoolpussy.eth,10597
318864,zorbase,10595
539003,httpsteve,10592
222464,metamask,10562
245124,sgniwder,10494
452150,bbabbe,10356
336788,dinobase,10335
335741,onrekt,10252
273147,stellabelle,10246
423063,timeshare,10221
406921,keolier,10219
190218,icetoad.eth,10166
378275,bihukim,10165
574472,beearlybot,10132
299853,basewtf.eth,10125
245017,thecryptomath,10105
354795,aaronv.eth,10054
548794,ionicmoney,10019
344497,twitscription,10002
381100,snickerdoodle,10002
244128,degentokenbase,9892
507277,kakaxa,9822
307128,kiszkiloszki.eth,9789
330807,feelsxart,9743
193158,brykayne,9738
315951,superseed,9719
193137,supercast,9681
386793,bitchcoin-baby,9646
249958,thepapercrane,9595
229150,maxbr,9586
402700,0xfoxyy.eth,9555
514785,0xiceberg,9443
461130,zhaolu,9423
243139,ohyoublockhead,9399
417119,stackdotso,9397
211756,basegod,9377
263333,clfx.eth,9334
502254,masks-bot,9288
341506,bpunk,9272
350911,compusophy,9260
270969,basedinstitute,9259
342665,playwildcard,9243
436577,kevinmfer,9171
403090,sleepypenguin.eth,9162
314233,0xhen,9162
283056,inceptionally,9155
278406,joellelb,9149
265506,benna,9139
262357,foundation,9139
308664,9dcc.eth,9109
382803,larabee,9085
195960,velodrome,9056
368021,raichu.eth,9021
401327,fmoneynft.eth,8973
305843,iashish.eth,8962
432209,mohammad98,8950
401938,dlrkddls12345,8940
267375,memepom,8864
639787,hotdao,8857
322662,yumemaboroshi,8810
357745,briantoups,8797
242870,yost,8786
520108,marat116,8776
499148,jojo-exchange,8757
658639,doggybos,8686
214447,yes2crypto.eth,8683
516028,chii-ka,8679
403507,degentipbot.eth,8670
310124,eggman.eth,8665
309832,gusik4ever,8652
398596,altanon,8543
239533,cointf.eth,8511
385424,0xthewhale.eth,8435
