"rank","fid","fname"
1,3,"danromero.eth"
1,3,"dwr"
1,3,"dwr.eth"
2,12142,"base"
3,2,"varunsrin.eth"
3,2,"v"
4,99,"jessepollak"
5,239,"ted"
6,528,"0xen"
7,1110,"perl"
8,617,"cameron"
9,539,"ace"
10,576,"nonlinear.eth"
10,576,"nonlinear"
11,2904,"wake"
11,2904,"wakeupremember.eth"
12,7143,"six"
13,472,"ccarella.eth"
13,472,"ccarella"
14,680,"woj.eth"
14,680,"wojtek.eth"
14,680,"woj"
15,129,"phil"
16,5650,"vbuterin"
16,5650,"vitalik.eth"
17,7251,"ciniz.eth"
17,7251,"ciniz"
17,7251,"dick.eth"
17,7251,"cnz.eth"
18,8,"jacob"
19,4407,"keccers"
19,4407,"keccers.eth"
20,3621,"portlymerchant.eth"
20,3621,"stupidideas.eth"
20,3621,"horsefacts.eth"
20,3621,"summoningcircle.eth"
20,3621,"horsefacts"
21,206,"coopahtroopa"
21,206,"coopahtroopa.eth"
22,15983,"jacek"
23,347,"greg"
23,347,"gregskril.eth"
24,1214,"df"
25,1356,"farcasteradmin.eth"
25,1356,"borodutch"
26,1285,"benersing"
27,3642,"toadyhawk"
27,3642,"toadyhawk.eth"
28,1325,"cassie"
29,602,"jasongoldberg.eth"
29,602,"betashop.eth"
29,602,"betashop"
30,13121,"lght.eth"
30,13121,"0xlght"
31,9135,"qdau.eth"
31,9135,"kugusha.eth"
31,9135,"kugusha"
32,12,"linda"
33,1606,"samantha"
34,1287,"july"
35,534,"mikedemarais.eth"
35,534,"mikedemarais"
36,2433,"seneca"
37,1237,"nicholas"
38,2210,"kenny"
39,1317,"0xdesigner.eth"
39,1317,"0xdesigner"
40,2689,"binji"
40,2689,"binji.eth"
41,124,"giu"
41,124,"giacaglia.eth"
42,738,"alexmasmej"
42,738,"alexmasmej.eth"
43,4482,"deployer"
44,2007,"jacopo.eth"
44,2007,"jacopo"
45,8447,"eriksmith.eth"
45,8447,"eriks"
46,7637,"aaronrferguson.eth"
46,7637,"aaronrferguson"
47,358,"corbin.eth"
47,358,"corbpage"
48,13833,"kaloh"
49,7620,"cybershakti"
50,9595,"survey"
51,18085,"mleejr"
52,10810,"gami.eth"
52,10810,"gami"
53,20919,"rainbow"
54,5431,"esdotge.eth"
54,5431,"esdotge"
55,13505,"j-valeska"
56,2252,"sui"
57,2417,"robrecht.eth"
57,2417,"robrecht"
58,10636,"jam"
59,4036,"sassal"
59,4036,"sassal.eth"
60,281289,"tocd"
61,8046,"rsa"
61,8046,"rsa.eth"
62,5991,"mxvoid"
63,8685,"markcarey"
64,2163,"cryptogirls"
65,3362,"maschka"
66,24005,"rarible"
67,361319,"simson"
68,259196,"farlaunch"
69,329883,"wowbase"
70,274138,"farbase"
71,345923,"farcastercoin"
72,339515,"jackza.eth"
72,339515,"farcasterranking"
73,355066,"mxchaosm"
74,234616,"pi-chi.eth"
74,234616,"pichi"
75,6806,"dawufi.eth"
75,6806,"dawufi"
76,343261,"drakula"
77,880,"secp256k1.eth"
77,880,"alexanderchopan"
77,880,"sessionkeys.eth"
77,880,"smartprofiles.eth"
77,880,"accountless.eth"
77,880,"alexanderchopan.eth"
77,880,"chopan.eth"
77,880,"mofn.eth"
78,431,"j4ck.eth"
78,431,"j4ck"
79,548,"briang"
80,557,"pugson"
81,5708,"timdaub.eth"
81,5708,"timdaub"
82,269694,"bitfloorsghost"
82,269694,"bitfloorsghost.eth"
83,378,"colin"
83,378,"colinarms.eth"
84,230147,"edit"
85,194,"rish"
86,4163,"kmacb.eth"
86,4163,"kmacbeth"
87,5818,"adrienne"
87,5818,"adriennetenger.eth"
88,4327,"colin-"
88,4327,"cojo.eth"
89,4606,"vgr"
90,5774,"tldr"
91,373,"jayme"
92,1355,"bias"
93,11528,"jrf"
94,4167,"nounishprof"
94,4167,"thenounishprof.eth"
95,270504,"proxystudio.eth"
95,270504,"proxystudio"
96,20910,"zora"
97,4923,"antimofm"
97,4923,"antimofm.eth"
98,1841,"martin"
99,473,"mattkoch.eth"
99,473,"matthew"
100,5620,"fun"
100,5620,"welter.eth"
101,1048,"macbudkowski"
102,9307,"bankless"
103,457,"zachterrell"
103,457,"zachterrell.eth"
104,3206,"yb"
105,312,"lesgreys.eth"
105,312,"les"
106,20596,"bountybot"
107,364927,"paybot"
108,616,"dylsteck.eth"
108,616,"dylsteck"
109,243300,"yonfrula"
110,56,"dcposch"
110,56,"dcposch.eth"
111,1970,"grin"
112,4286,"pixel"
113,1626,"mcbain"
114,16085,"samuellhuber"
114,16085,"smashice.eth"
115,426,"brianjckim.eth"
115,426,"brianjckim"
116,18581,"ponder"
117,108,"perceptive.eth"
117,108,"nick"
118,14364,"purp"
119,8152,"undefined"
120,325,"vm"
121,253127,"bleu.eth"
121,253127,"agust.eth"
121,253127,"agust"
122,4905,"suchdao.eth"
122,4905,"mxjxn.eth"
122,4905,"tokenart.eth"
122,4905,"modulations.eth"
122,4905,"maxjackson.eth"
122,4905,"mxjxn"
123,2802,"garrett"
124,2588,"nor"
125,303,"kyle"
126,5701,"chriscocreated"
126,5701,"chriscocreated.eth"
127,2441,"grunt"
127,2441,"grunt.eth"
127,2441,"sbfftx.eth"
127,2441,"erc123.eth"
127,2441,"nofuckingthanks.eth"
128,451,"pfista"
128,451,"pfista.eth"
129,16098,"jpfraneto"
130,533,"alexpaden"
130,533,"iconia.eth"
130,533,"shoni.eth"
131,283,"hyper"
132,1097,"noun40"
133,834,"gabrielayuso"
133,834,"gabrielayuso.eth"
134,341506,"bpunk"
