"rank","fid","fname"
1,3,"danromero.eth"
1,3,"dwr.eth"
1,3,"dwr"
2,5650,"vitalik.eth"
2,5650,"vbuterin"
3,99,"jessepollak"
4,2,"varunsrin.eth"
4,2,"v"
5,12,"linda"
6,576,"nonlinear.eth"
6,576,"nonlinear"
7,347,"greg"
7,347,"gregskril.eth"
8,1325,"cassie"
9,239,"ted"
10,129,"phil"
11,8,"jacob"
12,1287,"july"
13,124,"giacaglia.eth"
13,124,"giu"
14,617,"cameron"
15,528,"0xen"
16,534,"mikedemarais.eth"
16,534,"mikedemarais"
17,539,"ace"
18,472,"ccarella.eth"
18,472,"ccarella"
19,2433,"seneca"
20,206,"coopahtroopa"
20,206,"coopahtroopa.eth"
21,3621,"horsefacts"
21,3621,"summoningcircle.eth"
21,3621,"stupidideas.eth"
21,3621,"portlymerchant.eth"
21,3621,"horsefacts.eth"
22,1317,"0xdesigner.eth"
22,1317,"0xdesigner"
23,12142,"base"
24,1214,"df"
25,358,"corbin.eth"
25,358,"corbpage"
26,2689,"binji"
26,2689,"binji.eth"
27,680,"woj"
27,680,"woj.eth"
27,680,"wojtek.eth"
28,1237,"nicholas"
29,602,"jasongoldberg.eth"
29,602,"betashop.eth"
29,602,"betashop"
30,15983,"jacek"
31,1356,"borodutch"
31,1356,"farcasteradmin.eth"
32,3642,"toadyhawk.eth"
32,3642,"toadyhawk"
33,9135,"kugusha"
33,9135,"kugusha.eth"
33,9135,"qdau.eth"
34,1110,"perl"
35,4407,"keccers"
35,4407,"keccers.eth"
36,4036,"sassal"
36,4036,"sassal.eth"
37,2904,"wakeupremember.eth"
37,2904,"wake"
38,13833,"kaloh"
39,7251,"ciniz"
39,7251,"ciniz.eth"
39,7251,"cnz.eth"
39,7251,"dick.eth"
40,7143,"six"
41,8046,"rsa.eth"
41,8046,"rsa"
42,2417,"robrecht.eth"
42,2417,"robrecht"
43,2007,"jacopo"
43,2007,"jacopo.eth"
44,738,"alexmasmej"
44,738,"alexmasmej.eth"
45,1285,"benersing"
46,1606,"samantha"
47,4482,"deployer"
48,13121,"0xlght"
48,13121,"lght.eth"
49,20919,"rainbow"
50,10810,"gami"
50,10810,"gami.eth"
51,2210,"kenny"
52,8447,"eriksmith.eth"
52,8447,"eriks"
53,5431,"esdotge"
53,5431,"esdotge.eth"
54,7637,"aaronrferguson"
54,7637,"aaronrferguson.eth"
55,18085,"mleejr"
56,2252,"sui"
57,5991,"mxvoid"
58,13505,"j-valeska"
59,7620,"cybershakti"
60,2163,"cryptogirls"
61,9595,"survey"
62,10636,"jam"
63,3362,"maschka"
64,8685,"markcarey"
65,281289,"tocd"
66,24005,"rarible"
67,339515,"jackza.eth"
67,339515,"farcasterranking"
68,259196,"farlaunch"
69,345923,"farcastercoin"
70,355066,"mxchaosm"
71,274138,"farbase"
72,329883,"wowbase"
73,361319,"simson"
74,207,"tim"
74,207,"timbeiko.eth"
75,378,"colin"
75,378,"colinarms.eth"
76,56,"dcposch"
76,56,"dcposch.eth"
77,368,"0xstark.eth"
77,368,"js"
78,457,"zachterrell"
78,457,"zachterrell.eth"
79,108,"nick"
79,108,"perceptive.eth"
80,557,"pugson"
81,473,"matthew"
81,473,"mattkoch.eth"
82,359,"pushix"
83,37,"balajis.eth"
83,37,"balajis"
84,25,"cdixon.eth"
84,25,"cdixon"
85,101,"yitong"
86,431,"j4ck"
86,431,"j4ck.eth"
87,548,"briang"
88,4606,"vgr"
89,274,"n"
90,83,"gaby"
91,11188,"polynya"
91,11188,"polynya.eth"
92,325,"vm"
93,283,"hyper"
94,251,"jc"
95,373,"jayme"
96,194,"rish"
97,143,"mk"
98,312,"les"
98,312,"lesgreys.eth"
99,134,"scharf"
99,134,"scharfstein.eth"
100,3860,"gakonst"
101,60,"brenner"
101,60,"brenner.eth"
102,224,"whatrocks"
103,303,"kyle"
104,426,"brianjckim"
104,426,"brianjckim.eth"
105,73,"shawki"
106,3887,"slokh.eth"
106,3887,"slokh"
107,1097,"noun40"
108,302,"gt"
109,17,"sds"
109,17,"shanedasilva.eth"
